,Temperature-High,Temperature-Low,Temperature-Average,Humidity-High,Humidity-Low,Humidity-Average,Pressure-High,Pressure-Low,Pressure-Average,location
12-2016,"11 °C (26. Dez, 12:20)","-6 °C (4. Dez, 04:50)",2 °C,"100% (5. Dez, 20:20)","60% (4. Dez, 13:50)",87%,"1045 mbar (5. Dez, 20:20)","1017 mbar (11. Dez, 06:20)",1031 mbar,Frankfurt
1-2017,"6 °C (12. Jan, 12:50)","-13 °C (23. Jan, 07:50)",-1 °C,"100% (1. Jan, 02:50)","28% (20. Jan, 15:20)",79%,"1042 mbar (1. Jan, 02:50)","987 mbar (13. Jan, 00:50)",1023 mbar,Frankfurt
2-2017,"15 °C (27. Feb, 14:50)","-4 °C (15. Feb, 06:20)",5 °C,"100% (3. Feb, 02:20)","36% (26. Feb, 15:50)",76%,"1036 mbar (3. Feb, 02:20)","991 mbar (28. Feb, 15:50)",1017 mbar,Frankfurt
3-2017,"24 °C (31. Mär, 15:50)","0 °C (3. Mär, 06:50)",9 °C,"100% (8. Mär, 00:50)","23% (31. Mär, 16:20)",68%,"1033 mbar (8. Mär, 00:50)","990 mbar (4. Mär, 15:20)",1017 mbar,Frankfurt
4-2017,"23 °C (9. Apr, 17:50)","-3 °C (20. Apr, 04:20)",10 °C,"100% (17. Apr, 10:20)","24% (26. Apr, 16:20)",60%,"1036 mbar (17. Apr, 10:20)","1005 mbar (25. Apr, 03:50)",1020 mbar,Frankfurt
5-2017,"33 °C (28. Mai, 17:20)","2 °C (10. Mai, 03:50)",16 °C,"100% (1. Mai, 23:50)","28% (10. Mai, 19:20)",70%,"1030 mbar (1. Mai, 23:50)","997 mbar (11. Mai, 18:50)",1017 mbar,Frankfurt
6-2017,"35 °C (22. Jun, 13:50)","7 °C (8. Jun, 04:50)",20 °C,"100% (4. Jun, 02:50)","24% (20. Jun, 16:20)",61%,"1026 mbar (4. Jun, 02:50)","995 mbar (29. Jun, 01:50)",1014 mbar,Frankfurt
7-2017,"34 °C (19. Jul, 16:20)","9 °C (13. Jul, 04:50)",20 °C,"100% (3. Jul, 04:20)","28% (7. Jul, 16:25)",70%,"1024 mbar (3. Jul, 04:20)","1005 mbar (25. Jul, 22:20)",1014 mbar,Frankfurt
8-2017,"30 °C (29. Aug, 17:50)","9 °C (20. Aug, 06:20)",19 °C,"100% (2. Aug, 03:50)","30% (7. Aug, 15:50)",73%,"1025 mbar (2. Aug, 03:50)","1008 mbar (30. Aug, 18:20)",1017 mbar,Frankfurt
9-2017,"24 °C (5. Sep, 14:50)","4 °C (18. Sep, 05:50)",14 °C,"100% (1. Sep, 02:50)","38% (1. Sep, 16:20)",79%,"1024 mbar (1. Sep, 02:50)","997 mbar (9. Sep, 07:20)",1015 mbar,Frankfurt
10-2017,"22 °C (14. Okt, 16:20)","-1 °C (31. Okt, 06:50)",12 °C,"100% (1. Okt, 02:20)","47% (29. Okt, 10:20)",84%,"1030 mbar (1. Okt, 02:20)","1005 mbar (29. Okt, 05:20)",1020 mbar,Frankfurt
11-2017,"15 °C (1. Nov, 15:20)","-1 °C (14. Nov, 00:20)",6 °C,"100% (3. Nov, 01:20)","48% (1. Nov, 15:20)",87%,"1028 mbar (3. Nov, 01:20)","999 mbar (12. Nov, 12:50)",1016 mbar,Frankfurt
12-2017,"14 °C (31. Dez, 14:50)","-4 °C (2. Dez, 03:20)",4 °C,"100% (1. Dez, 00:50)","60% (9. Dez, 12:50)",87%,"1036 mbar (1. Dez, 00:50)","979 mbar (11. Dez, 12:20)",1015 mbar,Frankfurt
1-2018,"12 °C (1. Jan, 00:20)","-3 °C (15. Jan, 03:20)",6 °C,"100% (3. Jan, 01:20)","44% (18. Jan, 14:20)",83%,"1034 mbar (3. Jan, 01:20)","988 mbar (3. Jan, 06:50)",1014 mbar,Frankfurt
2-2018,"9 °C (16. Feb, 15:50)","-10 °C (28. Feb, 07:20)",0 °C,"100% (1. Feb, 07:20)","29% (25. Feb, 13:50)",72%,"1028 mbar (1. Feb, 07:20)","1001 mbar (1. Feb, 00:20)",1017 mbar,Frankfurt
3-2018,"14 °C (5. Mär, 15:50)","-7 °C (1. Mär, 00:20)",5 °C,"100% (5. Mär, 01:50)","27% (1. Mär, 14:20)",74%,"1029 mbar (5. Mär, 01:50)","990 mbar (6. Mär, 15:50)",1005 mbar,Frankfurt
4-2018,"28 °C (19. Apr, 16:20)","-1 °C (6. Apr, 02:50)",14 °C,"100% (2. Apr, 06:20)","19% (19. Apr, 16:50)",64%,"1031 mbar (2. Apr, 06:20)","995 mbar (30. Apr, 01:20)",1012 mbar,Frankfurt
