Wed Sep 23 06:48:29 +0000 2015,@GeroldKatja Dafür machen Bier und Schnitzel dick 
Tue Sep 22 20:39:29 +0000 2015,Das Bier hat eine leichte Leberwurstnote.
Tue Sep 22 13:14:56 +0000 2015,Neuer Ansatz: BIER http://d.pr/i/o68n
Tue Sep 22 12:28:09 +0000 2015,#germany #wuzberg #houfbrau #bier @Würzburg https://instagram.com/p/77tDOthTw1/
Mon Sep 21 19:19:16 +0000 2015,Das Love bezieht sich auf das Bier 
Mon Sep 21 16:59:49 +0000 2015,Zum #Abschluss des #Abends genehmigt der #JohnZn sich dann noch ein #Kühles #Bier^^ #KühlesBlondes… https://instagram.com/p/75nVnpDY9x/
Sun Sep 20 21:35:54 +0000 2015,#Erdinger #Weissbier #Flossfahrtgaudi #Bier #beer #Prost #cheers #bbq mit @larsschmitz @Esslingen am… https://instagram.com/p/73iJWplmgv/
Sun Sep 20 18:33:47 +0000 2015,Geht immer !! #cerveza #birra #pivo #bier @Gambrinus am Eck https://instagram.com/p/73NTj9LDNsU0nQeoIcOSOp2DGbcXf3vwjEIvw0/
Sun Sep 20 14:41:18 +0000 2015,Vorbereitung aufs Spiel! #grillen #bier #wein #riedsupportersohneried #fanfotodestages #1team1ziel… https://instagram.com/p/72ysoMISLP/
Sat Sep 19 17:16:34 +0000 2015,Das Bier für Halloween ist da ! ^^ 
Sat Sep 19 16:09:44 +0000 2015,"Craft Bier Fest (@Neues Rathaus in Hanover, Lower Saxony) https://www.swarmapp.com/c/9X4vJWlpSIa"
Sat Sep 19 13:43:45 +0000 2015,"thüringer bier, hessischer fußball. #d98fcb #football #bundesliga #lilien #darmstadt #ilmenau @… https://instagram.com/p/70HUcmAMXU/"
Sat Sep 19 12:13:49 +0000 2015,"Bier für 2,10€. Oberfranken wie es sich gehört :-) (@Gasthaus Fischer in Hirschaid, Bayern) https://www.swarmapp.com/c/0Br9588DHjj"
Sat Sep 19 10:10:04 +0000 2015,Ein paar Bier vor 4! (@TU Campus Lichtwiese in Darmstadt) https://www.swarmapp.com/c/kSDu5lwRffK
Sat Sep 19 06:18:33 +0000 2015,"So ihr Lieben, heute geht's an die Ostsee! Endlich ausspannen, abhängen, Fisch essen, Bier trinken und Meer ;)"
Sat Sep 19 05:07:47 +0000 2015,Sonnenaufgang. Hoibe Bier. Auswärtsromantik. @Würzburg Hauptbahnhof https://instagram.com/p/7zMRXPMgLDa5mMpTwaUke0k-hmV1VOhw-5Mts0/
Fri Sep 18 20:46:13 +0000 2015,Joa....die Band ist um längen besser als das Bier! #thorstenpowers... (Veltins Pilsener) http://untp.beer/s/c226195503 #photo
Fri Sep 18 18:13:58 +0000 2015,3-5 Bier (@Eisen in Bremen w/ @mrrsole) https://www.swarmapp.com/c/eciwiKMZ2qg
Fri Sep 18 17:49:26 +0000 2015,Kein Bier mehr im Haus. Gibt es eben Feierabendwhiskey.
Fri Sep 18 17:36:40 +0000 2015," (@Bier Brezel - Back &amp; Brauhaus in Heidelberg, Baden-Württemberg) https://www.swarmapp.com/c/bUIBMwD7vD9"
Fri Sep 18 16:15:40 +0000 2015,"Bier und Rahmpfifferlinge! (@Altstadtfest in Nürnberg, Bayern) http://4sq.com/1V0By0i"
Fri Sep 18 12:32:44 +0000 2015,@iJol_ für was das Bier? 
Fri Sep 18 11:11:06 +0000 2015,Bier vor Vier. #UrlaubZuhause #Bremen @Bremer Marktplatz https://instagram.com/p/7xRDgpPBJW/
Fri Sep 18 08:49:45 +0000 2015,@ND_ wenns denn noch bier wäre!
Fri Sep 18 06:44:19 +0000 2015,Gestern war ich noch auf ein kurzes Bier im Stammlokal! #latergram #füchschen @Cafe Modigliani https://instagram.com/p/7wyhchipGg/
Thu Sep 17 18:14:28 +0000 2015,"Der Beweis, dass Kevins was drauf haben. Der Gründer von Immelmann: Bier mit Koffein. #beerbits #Duesseldorf"
Thu Sep 17 17:17:01 +0000 2015,Ausklingen nach intensiver Arbeit am Geschäftskonzept bei afrikanischem Bier im Safari. 
Wed Sep 16 21:11:08 +0000 2015,"Gläs'le Bier statt #tasskaff (@merzilla's home in Bisingen, Baden-Württemberg) https://www.swarmapp.com/c/6CrhVqGEJsk"
Wed Sep 16 18:52:25 +0000 2015,Fußball & Bier in der Lounge - traumhaft. ;-) (at @Lufthansa Business Lounge A13) https://www.swarmapp.com/c/6EZl0ysqMkr
Wed Sep 16 15:29:45 +0000 2015,Wir nehmen dann mal ein Ginger Bier. #Dmexco (@Messe Halle 6 - @koelnmesse) https://www.swarmapp.com/c/1SMbIBDb338
Tue Sep 15 18:37:03 +0000 2015,Ich sehe das Bier. (@Trotzköpfle) https://www.swarmapp.com/c/02XFWS0Le6m
Sun Sep 13 13:43:54 +0000 2015,Prost #böblingen #schönbuch #bier #deutschland @Schönbuch Bräu Brauhaus https://instagram.com/p/7kqkTkQZ75/
Sat Sep 12 17:55:35 +0000 2015,Ganz großes Tennis !!!! Bier auf nem anderen Niveau !!... (Chimay Bleue (Grande Réserve)) http://untp.beer/s/c224322526 #photo
Sat Sep 12 10:09:38 +0000 2015,visita culturale a Norimberga: einen meter bier ... @Hausbrauerei… https://instagram.com/p/7htQEJhwBwjsoYlee5UBfHTvNkqNq0m1arBkU0/
Sat Sep 12 05:26:34 +0000 2015,Bier fördert wirklich einen Bierbauch? - Heilpraxisnet.de http://dlvr.it/C7LghR
Sat Sep 12 04:21:04 +0000 2015,Bier fördert wirklich einen Bierbauch? - Heilpraxisnet.de http://dlvr.it/C7KrSs
Fri Sep 11 18:35:45 +0000 2015,Der @bloemi braucht noch Bier. #blauburg (at @REWE_supermarkt in Bremen) https://www.swarmapp.com/c/l42zIRMNdJH
Fri Sep 11 18:27:41 +0000 2015,Brooklyn EIPA. Sehr fein! #bier @Carls Wirtshaus https://instagram.com/p/7gBdESnSSN/
Fri Sep 11 18:11:11 +0000 2015,"Beschtes heute: Zimmer, Halfar, moi Bier und moi Pferdefrikadell. Tot. Kein System. Emotionslos. Leer. Bin bedient. #fckscf #betze"
Fri Sep 11 13:07:32 +0000 2015,@Bucksen Und dann hole ich dich mir Bier ab &lt;3
Fri Sep 11 12:30:17 +0000 2015," Wird auch den Männern empfohlen am Bier nur zu riechen, statt es zu trinken? https://twitter.com/SuddenGrey/status/642308711894151169"
Thu Sep 10 18:47:35 +0000 2015,"Heute ist so ein Tag, da braucht es sogar zwei Bier... (Kilkenny Irish Draught / Cream Ale) http://untp.beer/s/c223551207"
Thu Sep 10 16:19:18 +0000 2015,Bier und fisch gebackne brezn @Paulaner Stuttgart https://instagram.com/p/7dN9wwDe30oPw4hZxOYNJfcFvEMuypllgkfbw0/
Thu Sep 10 16:15:34 +0000 2015,#homebrew Vorbereitungen zum Bier brauen können ja soooo hart sein. 2 to go... 
Thu Sep 10 15:13:11 +0000 2015,BIER check .. Flensburger und olives @Nordend (Frankfurt am Main) https://instagram.com/p/7dGZklFn2X/
Thu Sep 10 03:40:18 +0000 2015,"Wenn in Kölle, Reissdorf und Dom #kölle #köln #deutschland #kölschejung #kölsch #reissdorf #bier… https://instagram.com/p/7b3GwUHxHl/"
Wed Sep 09 06:23:38 +0000 2015,#Mainz kennengelernt. Gefällt mir. Brauchte aber 2 Tage und ein paar Bier. Trotzdem nett.
Tue Sep 08 19:05:33 +0000 2015,"#bier #endlich (@Böhler's Landgasthof in Bad Pyrmont, Lower Saxony) https://www.swarmapp.com/c/3gTUHxSQtJH"
Tue Sep 08 18:56:45 +0000 2015,"Bar der 100 biere. #mmh #beer #bier #woiza #starkbier #kozeldark #lion @Mainz, Germany https://instagram.com/p/7YWZUNiTIh/"
Tue Sep 08 17:40:11 +0000 2015,Das erste Mal getrunken und als lecker empfunden.... #Bier #beer #beerporn #Andechs #klosterandechs… https://instagram.com/p/7YNoWXLigS/
Tue Sep 08 17:14:32 +0000 2015,Stiefelbräu aus dem Stiefel #Bier #beer #saarbrücken @Stiefel Bräu https://instagram.com/p/7YKsm8P0iz/
Tue Sep 08 14:33:13 +0000 2015,Schwangerschaft und Alkohol: Viele finden gelegentliches Bier ok - T-Online http://dlvr.it/C5QYJB
Tue Sep 08 14:00:40 +0000 2015,Alkohol in der Schwangerschaft: Viele finden gelegentliches Bier ok - T-Online http://dlvr.it/C5Ppg5
Tue Sep 08 13:37:09 +0000 2015,Heute Abend mal das #RBRS-Bier testen... @Radio Bonn/Rhein-Sieg https://instagram.com/p/7Xx0gKM6rC/
Tue Sep 08 07:13:05 +0000 2015,18% finden Bier in der Schwangerschaft ok - BILD http://dlvr.it/C5CMYW
Tue Sep 08 04:32:03 +0000 2015,Gesundheit - Umfrage: 18 Prozent finden Bier in Schwangerschaft vertretbar - Süddeutsche.de http://dlvr.it/C5954G
Tue Sep 08 02:37:09 +0000 2015,Gesundheit: Umfrage: 18 Prozent finden Bier in Schwangerschaft vertretbar - ZEIT ONLINE http://dlvr.it/C57jfC
Mon Sep 07 17:48:25 +0000 2015,"Dieses bier berühmt from Deutschland #mannheim @Mannheim, Germany https://instagram.com/p/7Vpx6nK05C/"
Sat Sep 05 18:49:58 +0000 2015,Couch. Bier. Kinolautstärke. #FF7
Sat Sep 05 17:06:12 +0000 2015,Frankfurt-Bornheim - Zehn Jahre und ganz viel Bier http://j.mp/1i45sQ9 #frankfurt
Sat Sep 05 16:51:27 +0000 2015,Trinken die Spieler jetzt Bier in der Kabine? #Dédé @BVB
Sat Sep 05 13:55:36 +0000 2015,Late lunch - #cheers #prost #beer #bier #pils @Cha Cha - Positive Eating in Düsseldorf https://instagram.com/p/7QFi-XoZrO/
Fri Sep 04 18:16:58 +0000 2015,"Abendessen? Jo, genug Bier ist auch Nahrung... Prost "
Fri Sep 04 16:08:17 +0000 2015,Kraftklub und Bier! (at @Zeltfestival Ruhr in Witten w/ @einfachmarcel) https://www.swarmapp.com/c/lrEqt1Teyqe
Thu Sep 03 16:45:53 +0000 2015,Meine liebste Tradition: Ein überteuertes Normalo-Bier im Flughafen. Man gönnt sich ja sonst nix. (at @airport_fra) https://www.swarmapp.com/c/1S9zlh2ikOk
Wed Sep 02 19:27:01 +0000 2015,"Kommt man in Düsseldorf, trinkt man Alt #dusseldorf #deutschland #bier… https://instagram.com/p/7I9FkrH6gdmkUiX9WxMGImf-gNsv3LKTtA8ZA0/"
Wed Sep 02 19:10:41 +0000 2015,"Volksfest! Mass Bier and rock music! (@Volksfestplatz - @volksfest in Nuremberg, Bavaria) http://4sq.com/1LLGHll"
Wed Sep 02 18:36:29 +0000 2015,"#Weltmeister #Brot / #Bier @Lidl Hannover-Misburg, Brucknerring 1 https://instagram.com/p/7I3TmcQ2Ml/"
Wed Sep 02 16:18:49 +0000 2015,Muss ich jetzt ein schlechtes Gewissen haben weil ich Joggern zuschaue... Und dabei Bier trinke? #feierabendbier
Tue Sep 01 17:01:43 +0000 2015,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/0amRCe9r987"
Tue Sep 01 16:20:55 +0000 2015,"kaltes bier aus dem ""hochzeitsgeschenk-glad"" jamas "
