Mon Dec 31 21:19:00 +0000 2018,#untappd - Drinking a Schwarz-Bier by Störtebeker Braumanufaktur @Hiphop's Homebase — http://untp.beer/s/c696000641
Mon Dec 31 20:16:09 +0000 2018,#untappd - Drinking a Keller-Bier 1402 by Störtebeker Braumanufaktur @Hiphop's Homebase — http://untp.beer/s/c695941289
Mon Dec 31 18:44:02 +0000 2018,Guten Rutsch!!! - Drinking a Tettnanger Kronen-Bier by Brauerei &amp; Gasthof zur Krone Tettnang @Merklingen — 
Mon Dec 31 16:18:26 +0000 2018,Konfuzius hat immer Recht #Konfuzius #Bier #konfuziussagt @Hemsbier https://www.instagram.com/p/BsDuIFIAsHb/?utm_source=ig_twitter_share&amp;igshid=d5eyzyf5ufsh
Mon Dec 31 13:13:47 +0000 2018,K Ö L S C H #cologne #köln #tourist #kölsch #bier #travel #gaytravel @Cocktailbar Extrablatt Köln https://www.instagram.com/p/BsDY_nDAZiF/?utm_source=ig_twitter_share&amp;igshid=1q3pm5bwyjjka
Mon Dec 31 10:34:37 +0000 2018,"2018 hatte durchaus schöne Momente! Danke an alle, mit denen ich dieses Jahr verbringen durfte #s04 #veltinsarena #s04fanpics #schalke #gelsenkirchen #bier #fußball #bundesliga @… https://www.instagram.com/p/BsDEW-CBJj2/?utm_source=ig_twitter_share&amp;igshid=qfq74oqmdanc"
Sun Dec 30 20:59:13 +0000 2018,"Riecht komisch schokoladig. Schmeckt säuerlich kirschig krass stark. Viel Alk, viel Rotwein. Dazu schokoröstiges Bier. Spannend. - Drinking a Whisky Sour Ale by Braumanufaktur Hertl @Oststadt — http://untp.beer/s/c695423864"
Sat Dec 29 19:02:07 +0000 2018,Ein großes bier bitte en Königsallee Düsseldorf https://www.instagram.com/p/Br-2_yXFi2q71tMQkDgwiOyvEwG2wwX66gWInw0/?utm_source=ig_twitter_share&amp;igshid=1wtu0zmr0g9el
Sat Dec 29 13:03:06 +0000 2018,Home made Burger und Bier - Drinking an Ambear Bayrisch Märzen by Hops &amp; malt @Home of Ostwestf4le — http://untp.beer/s/c694469226
Thu Dec 27 21:25:41 +0000 2018,PROTEIN SHAKES SIND MEIN BIER FELDBERGFIGHTER MOTIVATION… https://www.instagram.com/p/Br5-GohhFGu/?utm_source=ig_twitter_share&amp;igshid=k8dca3chu64a
Thu Dec 27 16:28:01 +0000 2018,"Zur Feier des Tages, Weihnachten ist vorbei, habe ich mir ein Bier gegönnt. @Goslar, Germany https://www.instagram.com/p/Br5cCiPHuAs/?utm_source=ig_twitter_share&amp;igshid=xha4e79tczum"
Wed Dec 26 22:17:00 +0000 2018,Drinking a Kartoffel Bier by Klosterbrauerei Neuzelle @New Gump's Homezone — http://untp.beer/s/c693121107
Wed Dec 26 11:08:00 +0000 2018,Weihnachtsessen mit der Familie. Das Bier schmeckt - Drinking an Aktien Landbier Fränkisch Dunkel by Bayreuther Bierbrauerei @Gasthaus und Pension Kirchhoff — http://untp.beer/s/c692877427
Wed Dec 26 01:41:04 +0000 2018,Drinking an Einbecker Ainpöckisch Bier 1378 by Einbecker Brauhaus @Dortmund — http://untp.beer/s/c692791763
Tue Dec 25 21:01:51 +0000 2018,Jetzt buchen! Silvesterfeier im Mannebacher Brauhaus 31. Dezember ab 19 Uhr Sivesterparty mit Liveband SOLID mit Begrüßungs-Sekt Drei-Gänge-Büffet 70 € pro Person #bier… https://www.instagram.com/p/Br0xyXUn4Rf/?utm_source=ig_twitter_share&amp;igshid=lyexx3oaldzq
Tue Dec 25 17:14:05 +0000 2018,"Erst das Bier, dann die Bowle - Drinking a Keiler Weißbier Hell by Keiler Bier @Sickergrund — "
Tue Dec 25 13:05:38 +0000 2018,"Spalter Bier! . . . #picoftheday #spalter #spalterbier #spalt #germany #nuremberg #iphonography #photography #tourist #iphonex en Spalt, Bayern, Germany https://www.instagram.com/p/Brz7Sp6gAyL/?utm_source=ig_twitter_share&amp;igshid=1mghx7yh1stz4"
Mon Dec 24 22:16:04 +0000 2018,Drinking a Schwarz-Bier by Störtebeker Braumanufaktur @Löherplatz — http://untp.beer/s/c692108286
Mon Dec 24 19:37:13 +0000 2018,Einfach genießen #froheweihnachten #limonade #bier #craftbeer #vereinsbrauereiapolda #allstedt #altehrwürdig #dievorburg #burgundschlossallstedt #sachsenanhalt #nordthüringen… https://www.instagram.com/p/BryDTu-g-4N/?utm_source=ig_twitter_share&amp;igshid=ql4xl2fmmjrq
Mon Dec 24 19:01:46 +0000 2018,"Huch, da fehlt ein -en im letzten Tweet. Naja, ich hab auch schon zwei Bier ein ein Whisky-Cola intus "
Mon Dec 24 17:43:03 +0000 2018,"Weihnachts Abendessen, Weisswurst mit süßer Senf, Kartoffelsalat mit Fleisch und Tomaten, und Brezen und weiß bier. #weinachts #abendessen #weissbier #brezen #kartoffelsalat… https://www.instagram.com/p/Brx2PZagXBw/?utm_source=ig_twitter_share&amp;igshid=4fed11ai3ugl"
