Wed Aug 16 15:36:21 +0000 2017,"spontanes feierabendgetränk mit @achimh (@Bergmann Bier Kiosk in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/3BC38qSg9ki"
Wed Aug 16 10:49:19 +0000 2017,"w/ @wanderlusdennis (@Burger &amp; Bier in Würzburg, Bavaria) https://www.swarmapp.com/c/0mgV6UKEhKY"
Wed Aug 16 06:08:06 +0000 2017,".@martijn_kosters, #Uusikaupunki macht Bier: @oyvasp haben wir in TKU in der Kerttu baari getrunken: https://untappd.com/c/2718408 weißt du noch?"
Tue Aug 15 17:53:58 +0000 2017,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/2czEn5JTp4k"
Tue Aug 15 17:27:47 +0000 2017,"Endlich wieder ein mal richtiges #Bier in #Franken #kölsch #koelsch @Erlangen, Germany https://www.instagram.com/p/BX0qC8ggOl0/"
Tue Aug 15 16:30:00 +0000 2017,Bier mit der Familie en Hannover Machsee https://www.instagram.com/p/BX0jmkGHTBC/
Tue Aug 15 15:13:08 +0000 2017,Klingt super: Bier aus verschiedenen Neustädten am 26. August in Neustadt/Hessen. 
Mon Aug 14 15:18:30 +0000 2017,Jemand von euch heute Abend Lust auf ein Bier in Düsseldorf? 
Sun Aug 13 20:18:56 +0000 2017,"Ordentlich Zitrone, bisschen Bier. Kein schlechtes Bier,... (Stiegl-Radler Zitrone Classic) http://untp.beer/s/c491098290 #photo"
Sun Aug 13 18:34:32 +0000 2017,Für mich ein #Genuss #Bier! - Drinking a Köstritzer Schwarzbier by @koestritzerDE @Flörsheim am Main — http://untp.beer/s/c491029584
Sun Aug 13 17:02:13 +0000 2017,Keine Bier Börse ohne Füchschen! - Drinking a Füchschen Alt @Opladener Bierbörse - http://untp.beer/s/c490979759 #photo
Sun Aug 13 08:38:58 +0000 2017,"Jo, Bier, Chips und Klopapier haben mich gut durch die Nacht gebracht "
Sat Aug 12 19:22:34 +0000 2017,#rottes #bier #beer #classic #nürnberg #altstadthof #brauerei #trip #not #bad @Hausbrauerei… https://www.instagram.com/p/BXtI-B2HPLZ/
Sat Aug 12 19:16:51 +0000 2017,"Chill level Netflix, Kerzen und gutes Bier.. Entspannter Abend #chillstagram #relaxmode… https://www.instagram.com/p/BXtIT7Undn0/"
Sat Aug 12 13:05:13 +0000 2017,Malzig mit fett Sesambutter. Sanfter Hopfen. Lecker.... (Public Bier) http://untp.beer/s/c490184186 #photo
Fri Aug 11 19:26:32 +0000 2017,"Gut, dass in so ziemlich jedem Ort, wo Uni Besuche mich hin führen, ein Brauhaus ist... #bier"
Fri Aug 11 15:18:59 +0000 2017,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/kNHBzBPOG22"
Fri Aug 11 11:59:51 +0000 2017,#14uhr erstes #bier für einen #erfolgreichentag #olgasrock #olgasrock17 #festival #openair… https://www.instagram.com/p/BXpxgd1AKsU/
Fri Aug 11 07:49:20 +0000 2017,German beer - Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Balingen — http://untp.beer/s/c489571942 #photo
Thu Aug 10 22:53:05 +0000 2017,Wir haben auch große Bierchen! #ponyhof #theke #bier @Rocco Del Schlacko Festival https://www.instagram.com/p/BXoXd3tl7u6/
Thu Aug 10 19:28:24 +0000 2017,Das Gute am alkoholfreiem Bier in der Craft Beer Bar: keiner von den Kollegen will von meinem Glas probieren. Sad. #prosit
Thu Aug 10 19:15:05 +0000 2017,Bierchen? #rocco #festival #bier #fun #theke #arbeit @Rocco Del Schlacko Festival https://www.instagram.com/p/BXn-d-NFUQv/
Thu Aug 10 11:42:31 +0000 2017,Ich bei einem Bier in der Gut Stub. @Offenheim https://www.instagram.com/p/BXnKupPBEOw/
Thu Aug 10 08:59:25 +0000 2017,"Trink mal lieber n Bier, ej!"
Wed Aug 09 21:14:35 +0000 2017,"Ein Bier, ein Elch und eine Bar #strasbourg @Le Troquet des Kneckes https://www.instagram.com/p/BXlnZpZBk0s/"
Wed Aug 09 15:55:10 +0000 2017,Das Deichbrandmobil ist bereit für die Abfahrt! Öl Tank Erbensuppe Bier @http://livetv.watch https://www.instagram.com/p/BXlC2FZH56Y/
Wed Aug 09 15:47:50 +0000 2017,URLAAAAAAUB YES! Wir haben Betriebsurlaub! Ein weiser Mann sagte einst zu mir: Ein Bier um… https://www.instagram.com/p/BXlB1ezjARz/
Wed Aug 09 15:37:41 +0000 2017,URLAAAAAAUB Yes! Wir haben Betriebsurlaub. Und ein weiser Mann sagte einst zu mir: Ein Bier um… https://www.instagram.com/p/BXlA2JYj6Rx/
Wed Aug 09 15:17:53 +0000 2017,Feierabend Bier 1st Sale für @The_Ride_Link heute!!! @gang und gäbe https://www.instagram.com/p/BXk-lA1DqsY/
Tue Aug 08 23:52:32 +0000 2017,Unterwegs mit dem Dude aus Nürnberg! #peter #bier #nuremburg #nürnberg #foodporn @Albert Dürer… https://www.instagram.com/p/BXjUr3KFmoZ/
Tue Aug 08 21:28:21 +0000 2017,"Aus Gerste wird kein Bier gebraut, sondern aus Malz. In Bayern sollte man sowas wissen! Auch im #Paschakrimi"
Tue Aug 08 19:53:17 +0000 2017,"Ja, immer noch ziemlich bekloppt. Immerhin nett malzig, aber nerviger Süßsto... (Einhorn & Bier) http://untp.beer/s/c488676245"
Tue Aug 08 17:33:23 +0000 2017,"Bier (@Kofferfabrik in Fürth, Bayern) https://www.swarmapp.com/c/aRqNEkLgVEe"
