Mon Sep 18 20:33:58 +0000 2017,Steini im Steinigarten #steiniebier #steini #bier #beer #steingarten #stonegarden #sony… https://www.instagram.com/p/BZMijLIhMWl/
Mon Sep 18 11:25:02 +0000 2017,Drinking a Keller Bier by St. Georgen Bru Buttenheim @Altstadtfest — http://untp.beer/s/c505355576 #photo
Mon Sep 18 11:23:02 +0000 2017,Frankfurter in Frankfurt & 1st German Bier #frankfurt #germany #frankfurter #radeberger… https://www.instagram.com/p/BZLjgL-lX4j/
Mon Sep 18 11:09:58 +0000 2017,"I'm at Sünner Bier &amp; Kornhaus in Cologne, North Rhine-Westphalia https://www.swarmapp.com/c/jJ2S5Y6pVqW"
Sun Sep 17 21:47:53 +0000 2017,Ganz okes Bier mit nicht ganz fürchterlicher Limonade.... (Gröninger Alsterwasser Orange) http://untp.beer/s/c505208770 #photo
Sun Sep 17 21:01:53 +0000 2017,"Ja, mir war das letzte nicht mies genug. Hier nun etwas mehr Bier, das abe... (Green Lemon) http://untp.beer/s/c505183282 #photo"
Sun Sep 17 20:20:47 +0000 2017,Sehr sehr sehr klebrig süß. Belangloses Bier mit billigster Limonad... (San Miguel Clara) http://untp.beer/s/c505159601 #photo
Sun Sep 17 15:44:40 +0000 2017,SV 1911 Bottrop - SF 08/21 Bottrop 2:0 (1:0) Kreisliga B Oberhausen/Bottrop Preis: 2€ Bier:… https://www.instagram.com/p/BZJcpgvn-VF/
Sun Sep 17 15:21:24 +0000 2017,Zwar kein Bier aber dennoch eine willkommene Belohnung nach getaner Wanderung #hiking… https://www.instagram.com/p/BZJZ-0rhw1u/
Sun Sep 17 14:55:39 +0000 2017,"Heute war in #Runkel (!) beim Brauer- und Brennerfest. Nette Bekanntschaften gemacht, nicht nur mit Bier #drinklocal"
Sun Sep 17 14:32:45 +0000 2017,An einem Sonntag?! Ich habe heute immerhin schon zwei Bier getrunken. #leistung
Sun Sep 17 11:05:32 +0000 2017,A gscheid’s Bier #hövels #Spieltach #bvbkoe @Dortmund https://www.instagram.com/p/BZI8s24FxWE/
Sun Sep 17 11:02:39 +0000 2017,Nur weil das Bier der Sorte “Helles” angehört müsste es nicht so wässrig sein.
Sun Sep 17 09:06:56 +0000 2017,"3/16 immer weiter und jetzt erstmal nen bier (@Hirsch in Nürnberg, Deutschland) https://www.swarmapp.com/c/5nY6BdVnSsI"
Sun Sep 17 06:00:10 +0000 2017,#gaffel #kölsch #südring #fortunaköln fortunakoeln #bier #köln #cologne #beer #gaffelkölsch… https://www.instagram.com/p/BZIZwHWAyMl/
Sat Sep 16 23:10:13 +0000 2017,Noch ein kleines Bier @Palmera Musik &amp; mehr https://www.instagram.com/p/BZHq136hQrU/
Sat Sep 16 22:39:12 +0000 2017,Ein typisches Geht-so-Bier - Drinking a Pils by Brauerei Knigshof @Duisburg — http://untp.beer/s/c504701579 #photo
Sat Sep 16 17:31:02 +0000 2017,#bier #beer #birra #craftbeer #germania #pils #sophiebrauhaus @Sophie's Brauhaus https://www.instagram.com/p/BZHEBiIlueQ/
Sat Sep 16 17:08:01 +0000 2017,Drinking an Oktoberfest Bier (2017) by Paulaner Brauerei @Hodges Wohnung — http://untp.beer/s/c504378663
Sat Sep 16 16:19:09 +0000 2017,"Heute Abend in der Stube: ""Sonne Mond &amp; Bier Session"" mit Dani Tech (2deep) mit einem 6h… https://www.instagram.com/p/BZG7zLeg35b/"
Sat Sep 16 16:00:21 +0000 2017,Drinking a DBB 1972 by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c504336680
Sat Sep 16 15:11:36 +0000 2017,Fürst Wallerstein - Hell Goldgelbes Bier mit einer zarten Schaumkrone. In der Nase etwas… https://www.instagram.com/p/BZG0EVXhmPw/
Sat Sep 16 11:45:56 +0000 2017,Bamberg - Rauch Bier - Schlenkerla @Bamberger Altstadt https://www.instagram.com/p/BZGchuTjKOG/
Sat Sep 16 11:25:23 +0000 2017,Drinking a Paulaner Oktoberfest Bier by Paulaner Brauerei @Gump's Homezone — http://untp.beer/s/c504266958 #photo
Sat Sep 16 10:48:44 +0000 2017,Pizza & Kraft Bier zum Mitnehmen @Due Fratelli Ristorante https://www.instagram.com/p/BZGVzt-lXD6/
Fri Sep 15 21:44:49 +0000 2017,Craft Bier Tage erfolgreich begonnen. 1 Kiste Howling Wolf von @twochefsbrewing für zuhause.… https://www.instagram.com/p/BZE8RZIg1Pe/
Fri Sep 15 20:15:52 +0000 2017,Sehr cool! Grüß mal schön und trink ein Bier (bitte kein Kölsch) für mich mit. Jetzt wohnen wir ja in OWL. 
Fri Sep 15 19:11:45 +0000 2017,First of sub 1€ fest Bier. Tasty! - Drinking an Astra Urtyp by Holsten-Brauerei @Steinenbronn — http://untp.beer/s/c503869837 #photo
Fri Sep 15 17:13:49 +0000 2017,Drinking a Pilsener-Bier by Strtebeker Braumanufaktur @Hodges Wohnung — http://untp.beer/s/c503812290
Fri Sep 15 16:46:18 +0000 2017,"Toffee, Erdbeere etwas Kiwi. Sehr interessantes Bier - Drinking a Paragraph 15 @Camba Old Factory - http://untp.beer/s/c503801932 #photo"
Fri Sep 15 14:32:09 +0000 2017,Drinking a Kirsch Bier by Klosterbrauerei Neuzelle @Hodges Wohnung — http://untp.beer/s/c503769908
Fri Sep 15 13:07:00 +0000 2017,"Bier #6 I think, umm delicious - Drinking a Schwarzbier by Pyraser Landbrauerei @Altstadtfest — http://untp.beer/s/c503760716 #photo"
Fri Sep 15 08:35:54 +0000 2017,#RIEGELE #KELLERBIER #UNFILTERED #BIER #BEER #BRAUHAUSRIEGELE #AUGSBURG #20170914 @Brauhaus… https://www.instagram.com/p/BZDh_KmDPwB/
Fri Sep 15 07:06:05 +0000 2017,Heute frische Kerwa Küchle von spotzas_leckereien! Die gehören zur Kerwa wie das Bier … https://www.instagram.com/p/BZDXtfVFJ3d/
Thu Sep 14 16:15:40 +0000 2017,"Wenn ihr mal in Münster seid, müsst ihr unbedingt ins #thejames gehen Leckeres Bier aus… https://www.instagram.com/p/BZBxzrNFut2/"
Thu Sep 14 14:53:34 +0000 2017,Drinking a Keller-Bier 1402 by Strtebeker Braumanufaktur @Hodges Wohnung — http://untp.beer/s/c503456296
Thu Sep 14 13:15:07 +0000 2017,Ich wollte aber mit dir Bier trinken gehen!
Thu Sep 14 03:12:08 +0000 2017,Nach nur einem Schlag fließt das Bier https://goo.gl/QhVykr - #frankfurt #ffm
Wed Sep 13 18:31:43 +0000 2017,Ich sitze in einer Hollywoodschaukel und trinke Bier. Könnte schlechter laufen. (@Lolita Bar - @armaberokay) https://www.swarmapp.com/c/hpgjwHxnOrm
Wed Sep 13 07:03:21 +0000 2017,Damit hat der spassige Teil dann begonnen! Endlich gabs mal 1 Liter Flaschen Bier!… https://www.instagram.com/p/BY-NyfvlPEh/
Tue Sep 12 20:26:21 +0000 2017,Belohnung nach dem Sportplatz #bbq #beer #hamburger #sportistmord #laufen #bier #flensburger… https://www.instagram.com/p/BY9E6HWnJaW/
Tue Sep 12 09:23:27 +0000 2017,Heute gab es mal wieder ein Paar Bier Korb Mit 11 leckeren Bieren diesmal ohne HemsBIER… https://www.instagram.com/p/BY75C2GDZSB/
Mon Sep 11 17:52:30 +0000 2017,DIRK BIER KÖNIG @Alte Schule https://www.instagram.com/p/BY6OgXlh5_q/
