Fri Dec 22 22:27:02 +0000 2017,"Bier (@Streetart Café in Nuremberg, Bavaria) https://www.swarmapp.com/c/7lDFNaanozm"
Fri Dec 22 18:50:49 +0000 2017,Entspannt ein Bier trinken. - Drinking a Sion Kölsch by Radeberger Gruppe @Schmalztöpfchen — http://untp.beer/s/c541099310 #photo
Fri Dec 22 18:15:47 +0000 2017,Bier Adventkalender Day 22: Schwarze Tinte (black ink) from Tölzer Mühlfeldbraü in Bad Tölz… https://www.instagram.com/p/BdA6QRxFiAp/
Thu Dec 21 19:39:16 +0000 2017,Bier Adventkalender Day 21: Kirschenholz Dunkel Landbier. From #kirschenholz Brauerei in… https://www.instagram.com/p/Bc-fApHl7XG/
Thu Dec 21 07:41:56 +0000 2017,MONTAG 25.12.17. ab 22 Uhr ALLE LONGDRINKS 5€ (die ganze nacht) JEDES BIER 2€ (die… https://www.instagram.com/p/Bc9M6tIDPnH/
Wed Dec 20 20:33:08 +0000 2017,Schnelles Bier. (at @EisenBremen in Bremen w/ @juliegoeths) https://www.swarmapp.com/c/aFfAec4HVtV
Wed Dec 20 19:53:59 +0000 2017,#alldrink #hemsbach #hemsbier #bier #bierregal #sixpack @alldrink GmbH Getränkehandel https://www.instagram.com/p/Bc775quDcGo/
Tue Dec 19 19:35:59 +0000 2017,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allguer Brauhaus @Hodges Wohnung — http://untp.beer/s/c540112757
Tue Dec 19 18:09:55 +0000 2017,Bier Adventkalender Day 19: Rieder India Pale Ale from Brauerei Ried in Austria. A peppery IPA… https://www.instagram.com/p/Bc5LMvWlXsf/
Mon Dec 18 17:21:32 +0000 2017,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/1WOazpAx8as"
Sun Dec 17 03:57:29 +0000 2017,Feierabend-Getränk. Bier und Co sind überbewertet! #feierabend #espresso… https://www.instagram.com/p/BcygDehl1_t/
Sat Dec 16 22:43:56 +0000 2017,#spaßmitfreunden #barbarossakeller #music #musikkneipe #qualitytime #bier #beer @Gelnhausen https://www.instagram.com/p/Bcx8BSXBiOB/
Sat Dec 16 17:25:53 +0000 2017,#untappd - Drinking a Jungbusch Ale by Haardt Bier @Taproom Jungbusch — http://untp.beer/s/c538879764
Sat Dec 16 15:48:51 +0000 2017,Motor Presse Stuttgart nimmt 'Bier'-Magazin vom Markt http://dlvr.it/Q6GB10 #TweetToTheTop
Sat Dec 16 15:19:06 +0000 2017,Kein Bier vor vier. #kindergeburtstag #pipilangstrumpf… https://www.instagram.com/p/BcxJQ6MBfeR/
Sat Dec 16 10:43:39 +0000 2017,Das erste Bier des Tages läuft mit dem guten @geppibz #ESLM #eslmeisterschaft @Mercedes-Benz Arena https://www.instagram.com/p/BcwpvcgFDKq/
Fri Dec 15 18:59:03 +0000 2017,Also für nen Craft Bier ganz lecker. Zitonenhopfen und ne frische fruchtigkeit. Etwas herb bis bis bitter im Abgang. Ich mags! - Drinking a Frohnatur by RheinCraft @Lotta — http://untp.beer/s/c538386839 #photo
Fri Dec 15 16:09:56 +0000 2017,Drinking a Winterbier Zwickl by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c538327411 #photo
Thu Dec 14 20:24:58 +0000 2017,"Am Flughafen, die Hälfte Reisende. Die anderen Flughafenmitarbeiter, die erstmal Feierabend Bier brauchen"
Thu Dec 14 17:23:29 +0000 2017,Drinking an Auswanderer Bier 1849 by Brauhaus Faust-Miltenberger @Hodges Wohnung — http://untp.beer/s/c538020272
Thu Dec 14 16:43:28 +0000 2017,Ich seh überall nur Bier! (@Hol Ab in Bad Nenndorf) https://www.swarmapp.com/c/16RqfnQluoa
Wed Dec 13 19:39:53 +0000 2017,"Die Veteranen besprechen sich beim Bier! (@Novosec AG in Frankfurt am Main, Hessen) https://www.swarmapp.com/c/llQwEoKFP9a"
Wed Dec 13 18:35:17 +0000 2017,Stammtisch der Verhaltensoriginellen mit bleifreiem Bier. #ausderklapse #notjustsad @Kultbucht… https://www.instagram.com/p/BcpxVRRHpAN/
Wed Dec 13 13:12:41 +0000 2017,"I'm at EDEKA Palatz-Bier in Blankenburg, Sachsen-Anhalt https://www.swarmapp.com/c/9BX6c2h9APz"
Tue Dec 12 18:19:01 +0000 2017,Bier Adventkalender Day 12: brauerei_zwoenitz Rauchbier (smoke beer). A nice dark beer with a… https://www.instagram.com/p/BcnKq-llHXS/
Mon Dec 11 20:42:10 +0000 2017,Mild nicht zu bitter allerdings auch nicht sehr fruchtig. Schmeckt im Abgang etwas nach Lakritz. Gut als Feierabend Bier. - Drinking a Blanche Hermine IPA by Brasserie Lancelot @Denis' und Dani's Haus — http://untp.beer/s/c537364388 #photo
Mon Dec 11 18:38:09 +0000 2017,Bier Adventkalender Day 11: Lebens Künstler (Life Artist) from Raschhofer Brauerei in Austria.… https://www.instagram.com/p/BckoErJl5hY/
Mon Dec 11 13:57:00 +0000 2017,"Ein Bier bitte.!!! (@Paulaner in The Squaire in Frankfurt am Main, Hessen) https://www.swarmapp.com/c/cWDZiNa828T"
Sun Dec 10 13:59:18 +0000 2017,der Bier-Schneemann @Düsseldorf-Düsseltal https://www.instagram.com/p/BchjXH2jznm/
