Sat Feb 09 21:23:33 +0000 2019,"Carlos will doch nicht an mein Bier @Ellmendingen, Baden-Wurttemberg, Germany https://www.instagram.com/p/BtqvojNh82r/?utm_source=ig_twitter_share&amp;igshid=wtq19vgsemlf"
Sat Feb 09 21:04:32 +0000 2019,Doch schon ganz lecker frisch! Ich mags!!! Oliver W. Fand es ja nicht so gut. Komischer Typ... - Drinking a Core Tex Records Bier by Braumanufaktur Potsdam @Frechen — 
Sat Feb 09 18:29:21 +0000 2019,"2 Ouzo und n halbes Bier.. meine güte, bin ich aus der Übung."
Fri Feb 08 18:57:38 +0000 2019,"Das Geza Loso Trio in vollem Gange, tolle Stimmung durch super Gäste !!! #mannebacherbrauhaus #mannebacherbier #bier #biernudel #gemütlich #gemeinsam #gewürzbier #tierfreund #tanzen… https://www.instagram.com/p/BtobWVqlh3A/?utm_source=ig_twitter_share&amp;igshid=e6p9dj5aa75l"
Fri Feb 08 17:15:11 +0000 2019,"#andechs #bier #spezial #hell #bergbock @dick_und_durstig_84 @Oberhausen, Germany https://www.instagram.com/p/BtoPn9cgsXey12UUP8BQAH8sypiQiOCYc7infw0/?utm_source=ig_twitter_share&amp;igshid=42kminik44e1"
Thu Feb 07 18:56:03 +0000 2019,Drinking a DBB Hopfensünde by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — 
Thu Feb 07 17:09:03 +0000 2019,"Im Monat Februar sind wir auch im #BoDo vertreten dass die Verkäufer auch etwas davon haben, gibt es für jeden Käufer des Bodo Magazins 02/19 in den Wochen 7, 8 und 9 das zweite Bier… https://www.instagram.com/p/BtlqIDLFUp5/?utm_source=ig_twitter_share&amp;igshid=1kzbho30s3srj"
Thu Feb 07 11:30:51 +0000 2019,Hier für euch eine Leckerei aus der Küche #mannebacherbrauhaus #mannebacherbier #bier #biernudeln #gemütlich #gemeinsam #gewürzbier #leckeresbier #leckeressen #essig #whiskey… https://www.instagram.com/p/BtlDbDAjWCb/?utm_source=ig_twitter_share&amp;igshid=m5akddnzezf5
Wed Feb 06 17:23:15 +0000 2019,"Naim und sein Kumpel Joe Maurer veranstalten heute spontan in Try Out über 60 Minuten, ohne Filter, mit FC Bayern im Hintergrund und kaltem Bier! Eintritt ist frei, Bier kostet Geld!… https://www.instagram.com/p/BtjG9SVn4xs/?utm_source=ig_twitter_share&amp;igshid=qhmdxzth5iql"
Wed Feb 06 17:08:53 +0000 2019,... einfach mal so #bier #clubhaus #weilichesmirverdienthabe #feierabend #bockaufbier #ruhe @Clubhaus Ahrbergen https://www.instagram.com/p/BtjFUJLF-7sQA0ZkjOFTh_9xaFqRqoZu_V6SXg0/?utm_source=ig_twitter_share&amp;igshid=zslwcu4lmoj5
Wed Feb 06 12:19:22 +0000 2019,"Cannabis Bier neu im Shop... @Oberhausen, Germany https://www.instagram.com/p/BtikLuKA_De/?utm_source=ig_twitter_share&amp;igshid=u0gv33anklg0"
Tue Feb 05 17:24:03 +0000 2019,Drinking a DBB 100% Tradition by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c709111744
Mon Feb 04 22:42:15 +0000 2019,Das Essen in Barres Brauwelt ist übrigens auch sehr zu empfehlen... Wir sehen uns wieder am 13.09.2019 . . . #barresbrauwelt #barre #barreBier #bier #restaurant #gastronomie #westfalen… https://www.instagram.com/p/Bteh3uShbll/?utm_source=ig_twitter_share&amp;igshid=199jljsw1d4dd
Mon Feb 04 00:00:40 +0000 2019,Also hier sind genügend Ich-hätte-gern-ein-neues-Bier-Typen 
Sun Feb 03 16:37:01 +0000 2019,"Ich vermute mal, mit einem Bier könnte #VFBSCF erträglicher werden - Drinking a Schuttigbier by Löwenbrauerei Elzach @Rottweil —"
Sun Feb 03 16:22:03 +0000 2019,"lets get some bier #ice #snow #cold @Bad Wildbad Im Schwarzwald, Baden-Wurttemberg, Germany https://www.instagram.com/p/BtbRkcVHeX7/?utm_source=ig_twitter_share&amp;igshid=dh8lvh12opaf"
Sun Feb 03 15:51:01 +0000 2019,Gestern einen kleinen Besuch im Barres Brauwelt Museum gemacht . . . #barre #barresbrauwelt #museum #lübbecke #westfalen #landleben #bier #beer #brauwelt #interessant #seit #since #1842… https://www.instagram.com/p/BtbOArPBCdb/?utm_source=ig_twitter_share&amp;igshid=atdfjqqjyilg
Sat Feb 02 18:34:01 +0000 2019,"Ist denn schon wieder Vatertag? #saufen #bier #warsteiner #katastrophe #gehmalbierholn #manv50l @Warstein, Germany https://www.instagram.com/p/BtY74MQAXKs/?utm_source=ig_twitter_share&amp;igshid=1xttdm883iwel"
Sat Feb 02 13:26:15 +0000 2019,Lecker Bier... . . . #barre #bier #beer #privatbrauerei #oberbauerschaft #lecker #alkohol #favorite #land @Hanni's - Am Burgsmannshof https://www.instagram.com/p/BtYYp0whXMN/?utm_source=ig_twitter_share&amp;igshid=18wiu3pj3cra1
Fri Feb 01 21:49:17 +0000 2019,#cafe#restaurant#florian#altbier#bier#düsseldorf#cafeflorian#leckeressen#kult#enjoy#flo#business#networking#gutegespräche #rohmfinanzkanzlei @Café Florian https://www.instagram.com/p/BtWtbbxgk34/?utm_source=ig_twitter_share&amp;igshid=yfkx9mcrig2j
Fri Feb 01 17:08:12 +0000 2019,"First bier(s) of the year :-) (@Brauhaus Vetter in Heidelberg, Baden-Württemberg) https://www.swarmapp.com/c/cjc7genzNHy"
Fri Feb 01 17:03:30 +0000 2019,"Mahlzeit! (@Burger &amp;amp; Bier in Würzburg, Bavaria) https://www.swarmapp.com/c/3hEGNrdrTNZ"
Fri Feb 01 14:08:10 +0000 2019,#bier (@EDEKA in Rottenburg Am Neckar) https://www.swarmapp.com/c/idGwUpROyaS
Fri Feb 01 06:01:21 +0000 2019,Jeder Urlaub hat mal ein Ende !! Heute ab 17:00 Uhr haben wir wieder für euch geöffnet. Das gesamte Team freut sich auf Euch!! #mannebacherbrauhaus #mannebacherbier #bier #biernudeln… https://www.instagram.com/p/BtVA8YnFCOQ/?utm_source=ig_twitter_share&amp;igshid=7vugcyl3whwi
