Wed Nov 16 18:46:57 +0000 2016,Ich habe schon viel gelernt. Nach sieben Bier kann ich mich nur wahrscheinlich an nichts mehr… https://www.instagram.com/p/BM4bEDMg8Fd/
Tue Nov 15 19:59:02 +0000 2016,"Ganz nett, aber ziemlich bonbonfruchtig süß und zu wenig Bier, um ... (Hoegaarden Rosée) http://untp.beer/s/c383236332 #photo"
Sun Nov 13 17:40:26 +0000 2016,Ein #gaffel #kölsch am Köllner #Dom / #köln #warten #bier #beer #K #reagenzglas #bahn @Gaffel… https://www.instagram.com/p/BMwlEQHD23A/
Sat Nov 12 19:45:57 +0000 2016,"Bier, Fußball, Freunde #dortmund @Stadion Signal Iduna Park -… https://www.instagram.com/p/BMuOoe8BFlXFPzUOLwp66uOR0XneZ0c0bGzYZA0/"
Fri Nov 11 20:35:46 +0000 2016,"Hallo, ihr da in #Gießen. Wer weiß, ob und wo es dieses Bier gibt? Schon mal irgendwo gesehen? @ManuelHeinrich?"
Fri Nov 11 20:15:17 +0000 2016,#Edelbräu. #Allgäuer #Büble #Bier. (@Chill out area Flörsheim am Main) https://www.swarmapp.com/c/hZv9LsLrZEN
Fri Nov 11 20:13:38 +0000 2016,So gut! - Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Flörsheim am Main — http://untp.beer/s/c381522992 #photo
Fri Nov 11 18:54:40 +0000 2016,"Tjanun, den Wein ,den ich noch schnell besorgt habe, sowie das kalte Bier darf ich wohl heute alleine genießen…"
Wed Nov 09 19:14:45 +0000 2016,#restaurant #friends #currywurst #germany @Bier- und Wurstkontor https://www.instagram.com/p/BMmcre0hPC7/
Wed Nov 09 18:04:46 +0000 2016,Bier. Hilft ja nichts.
Wed Nov 09 03:13:11 +0000 2016,"Hol mir Mal ne Flasche Bier @Ulm, Germany https://www.instagram.com/p/BMkuosahn3f/"
Tue Nov 08 00:09:12 +0000 2016,"Zeit, das Bier reinzuholen ... *brrrr* @Heidewaldstadion https://www.instagram.com/p/BMh0yVyBnI5/"
Mon Nov 07 20:42:12 +0000 2016,Gold Ochsen... Lecher würzig. #beer #Bier @Giengen https://www.instagram.com/p/BMhdGXYA7Dd/
Mon Nov 07 09:39:49 +0000 2016,"Wir haben #Moritz #bier entdeckt und wetten mit unserem #Chef um eine kiste, das wir bis Freitag… https://www.instagram.com/p/BMgRS4XjsUQ/"
Sun Nov 06 11:45:16 +0000 2016,Am Ziel angekommen. Jetzt gibt's erstmal was zu Essen und lecker Bier und dann... keine Ahnung… https://www.instagram.com/p/BMd621WjMuB/
Sat Nov 05 20:15:30 +0000 2016,"Bier mit Bert. (@Em Brass in Düsseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/l4116A20ev6"
Sat Nov 05 18:14:53 +0000 2016,"Bier kaufen (at @Kaufland in Ahlen, Nordrhein-Westfalen) https://www.swarmapp.com/c/gCzQjuC72so"
Sat Nov 05 18:12:49 +0000 2016,"Bratwurst on the way. Now having Gaffel hölsch bier (@Eigelstein in Düsseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/aPwgPwO9WXI"
Sat Nov 05 17:31:54 +0000 2016,Sehr lecker: Original #Budweiser #Bier. #Prost
Sat Nov 05 16:17:37 +0000 2016,Auf der Tour Büdchen Esition Sud in Düsseldorf mal neues Bier ausprobieren in dem wohl… https://www.instagram.com/p/BMb1OvgAa_g/
Sat Nov 05 14:16:49 +0000 2016,Drinking a Keller-Bier by Nrnberger Alm @Nürnberger Alm — http://untp.beer/s/c379387363
Sat Nov 05 13:32:29 +0000 2016,"Ist heute ein wichtiger Pastafari-Feiertag oder warum ist Onkel Ollis Kiosk zu? Das geht doch nich, ich wollte gutes Bier kaufen jetzt! :("
Sat Nov 05 11:38:03 +0000 2016,Falls euch eure Frau mal auf ein Bier einladen möchte habe ich hier einen Tipp für euch @… https://www.instagram.com/p/BMbVPE-D8mh/
Fri Nov 04 22:54:54 +0000 2016,Slam ist: In Jogginghose Backstage-Bier in der Piano-Bat kaufen. #slam2016 @Maritim Hotel… https://www.instagram.com/p/BMZ95sgjoal/
Fri Nov 04 20:16:08 +0000 2016,Wochenende! #wochenende #weekend #pizza #bier #beer #relaxen #salat #lecker #abendessen… https://www.instagram.com/p/BMZruygAuCq/
Fri Nov 04 17:51:23 +0000 2016,Drinking a Landsknecht-Bier by Frst Wallerstein Brauhaus at @stadtellwangen — http://untp.beer/s/c378924600 #photo
Thu Nov 03 15:55:00 +0000 2016,"I'm at Bergmann Bier Kiosk in Dortmund, Nordrhein-Westfalen https://www.swarmapp.com/c/gm7BITdvCdr"
Thu Nov 03 00:19:35 +0000 2016,"Bier? Werd ich mir auch gleich aufmachen, wenn es nicht interessanter wird. #domian"
Wed Nov 02 21:11:52 +0000 2016,Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Flörsheim am Main — http://untp.beer/s/c378382916 #photo
Wed Nov 02 18:44:03 +0000 2016,Drinking a DBB Pils by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c378347690
Tue Nov 01 20:03:56 +0000 2016,"Ziemlich generisches, aber nicht schlechtes Pils.... (Quartiermeister - Bier für den Kiez) http://untp.beer/s/c378146096 #photo"
Tue Nov 01 18:05:52 +0000 2016,"Gemütlich essen #Bier #hungry (@Brauhaus Barbarossa Schöllkrippen in Schöllkrippen, Germany w/ @miniwo) https://www.swarmapp.com/c/gnvKL5eB7wO"
Tue Nov 01 10:25:37 +0000 2016,Gestern im Training #halloweenchallenge #kettbells und #bier @Kettlebell Schwäbisch Gmünd https://www.instagram.com/p/BMQ5w7ahtGI/
