Sat Jan 23 11:03:49 +0000 2016,Das letzte Bier ist meist schlecht... Den kompletten Report findet ihr hier:… https://www.instagram.com/p/BA4RLMeGOTS/
Sat Jan 23 07:12:12 +0000 2016,Muss das Flugzeug so klein sein? @Flughafen Stuttgart https://www.instagram.com/p/BA32qzNyEkDkzbqpIiUfv8oveQgMD8uDrLTH1Q0/
Fri Jan 22 18:17:00 +0000 2016,Bier! (@Rock &amp; Wurst in Bremen) https://www.swarmapp.com/c/fHSs3MNYk1y
Thu Jan 21 22:19:59 +0000 2016,#bier @Hasseröder Brauerei Wernigerode https://www.instagram.com/p/BA0U9vLu4Lk/
Wed Jan 20 19:09:33 +0000 2016,"Huhu @Wiki_Geolina, ich bin am 29./30.1. in Köln, habt ihr ggf. Lust auf und Zeit für ein Bier? :)"
Tue Jan 19 19:53:31 +0000 2016,"Großartiges Bier! Schmeckt so ""deutlich"" wie aromatisiert, wurde aber ledigl... (Original) http://untp.beer/s/c268520522 #photo"
Tue Jan 19 19:06:25 +0000 2016,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/kRpF6DFHTS8"
Mon Jan 18 20:25:01 +0000 2016,Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus at @mercurebhf — http://untp.beer/s/c268332460
Mon Jan 18 16:59:19 +0000 2016,#Gilde #Brauerei #Bier #Hannover @Gilde Brauerei Hannover https://www.instagram.com/p/BAsB4tMlRjc/
Sun Jan 17 20:32:02 +0000 2016,"@KhedaderLehra hab ich da auch nicht. Hab aber leider gelogen, hab auf nem Geburtstag 4 Bier getrunken. Aber das zählt nicht."
Sun Jan 17 19:36:28 +0000 2016,@lostinnippes Geh ich eben draußen Bier trinken. @nedfuller
Sun Jan 17 16:55:38 +0000 2016,"Bier &amp;&amp; Kässpätzle. Stuttgart weiß zu beeindrucken. (@Platzhirsch in Stuttgart, Baden-Württemberg) https://www.swarmapp.com/c/6hIqcqPd37D"
Sun Jan 17 14:47:12 +0000 2016,Ich schwor mir damals ich rauch nie wieder...Stattdessen sauf ich lieber...Bier von #augustiner… https://www.instagram.com/p/BApN-HQS9WN/
